Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
21:59:00 14/03/2018,-0.6679,-0.6679,-0.07154,-0.07154,100.9,109.2,117.3,2.31,2.62,2.917,0.4783,79.18,1009,0,0,0,0,0,0,
22:59:00 14/03/2018,-0.8302,-0.8302,-0.1266,-0.1266,98.78,107.7,116.1,2.607,2.995,3.395,0.3067,78.32,1009,0,0,0,0,0,0,
23:59:00 14/03/2018,-0.8249,-0.8249,-0.1155,-0.1155,97.97,105.9,114.2,2.722,3.16,3.588,0.2117,77.37,1009,0,0,0,0,0,0,
00:59:00 15/03/2018,-0.7816,-0.7816,-0.1478,-0.1478,95.4,103,110.7,3.32,3.745,4.185,0.1533,74.32,1010,0,0,0,0,0,0,
01:59:00 15/03/2018,-0.898,-0.898,-0.1373,-0.1373,87.05,95.72,104.9,2.777,3.182,3.603,0.01667,72.59,1010,0,0,0,0,0,0,
02:59:00 15/03/2018,-0.8463,-0.8463,-0.123,-0.123,91.12,99.3,107.5,3.247,3.733,4.235,-0.1933,69.24,1009,0,0,0,0,0,0,
03:59:00 15/03/2018,-0.7595,-0.7595,-0.09984,-0.09984,88.23,96.92,105.8,3.487,4.018,4.572,-0.3433,66.91,1009,0,0,0,0,0,0,
04:59:00 15/03/2018,-0.7145,-0.7145,-0.06057,-0.06057,87.68,96.98,106.5,3.68,4.255,4.878,-0.365,67.18,1009,0,0,0,0,0,0,
05:59:00 15/03/2018,2.391,2.391,-0.02361,-0.02361,80.33,89.95,100.6,3.53,4.137,4.713,-0.5883,69.37,1009,0,0,0,0,0,0,
06:59:00 15/03/2018,22.24,22.24,0.09335,0.09335,85.13,94.32,104.7,3.933,4.638,5.328,-0.4583,67.95,1009,0,0,0,0,0,0,
07:59:00 15/03/2018,44.46,44.46,0.1572,0.1572,88.38,97.6,105.8,4.155,4.83,5.532,-0.1617,64.07,1009,0,0,0,0,0,0,
